Date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,172.800003,176.300003,172.449997,176.210007,176.210007,38454000
2018-03-05,175.210007,177.740005,174.520004,176.820007,176.820007,28401400
2018-03-06,177.910004,178.250000,176.130005,176.669998,176.669998,23788500
2018-03-07,174.940002,175.850006,174.270004,175.029999,175.029999,31703500
2018-03-08,175.479996,177.119995,175.070007,176.940002,176.940002,23774100
2018-03-09,177.960007,180.000000,177.389999,179.979996,179.979996,32185200
2018-03-12,180.289993,182.389999,180.210007,181.720001,181.720001,32207100
2018-03-13,182.589996,183.500000,179.240005,179.970001,179.970001,31693500
2018-03-14,180.320007,180.520004,177.809998,178.440002,178.440002,29368400
2018-03-15,178.500000,180.240005,178.070007,178.649994,178.649994,22743800
2018-03-16,178.649994,179.119995,177.619995,178.020004,178.020004,39404700
2018-03-19,177.320007,177.470001,173.660004,175.300003,175.300003,33446800
2018-03-20,175.240005,176.800003,174.940002,175.240005,175.240005,19649400
2018-03-21,175.039993,175.089996,171.259995,171.270004,171.270004,37054900
2018-03-22,170.000000,172.679993,168.600006,168.850006,168.850006,41490800
2018-03-23,168.389999,169.919998,164.940002,164.940002,164.940002,41028800
2018-03-26,168.070007,173.100006,166.440002,172.770004,172.770004,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,168.339996,40922600
2018-03-28,167.250000,170.020004,165.190002,166.479996,166.479996,41668500
2018-03-29,167.809998,171.750000,166.899994,167.779999,167.779999,37766100
