Date,Open,High,Low,Close,Adj Close,Volume,Return
10/2/2017,6506.080078,6527.220215,6484.140137,6516.720215,6516.720215,1977030000,
10/3/2017,6523.740234,6532.180176,6509.709961,6531.709961,6531.709961,1969320000,0.002300198
10/4/2017,6521.959961,6546.459961,6513.120117,6534.629883,6534.629883,1938440000,0.000447038
10/5/2017,6552.870117,6587.209961,6547.649902,6585.359863,6585.359863,1875670000,0.007763252
10/6/2017,6566.950195,6590.180176,6566.839844,6590.180176,6590.180176,1742470000,0.000731974
10/9/2017,6597.370117,6599.339844,6572.439941,6579.72998,6579.72998,1490620000,-0.001585722
10/10/2017,6602.490234,6608.299805,6561.779785,6587.25,6587.25,1799400000,0.001142907
10/11/2017,6586.72998,6604.209961,6577.990234,6603.549805,6603.549805,1830360000,0.002474448
10/12/2017,6594.759766,6613.5,6586.319824,6591.509766,6591.509766,2000470000,-0.001823268
10/13/2017,6613.209961,6616.580078,6602.200195,6605.799805,6605.799805,1756150000,0.002167946
10/16/2017,6622.549805,6632.5,6607.029785,6624,6624,1629480000,0.002755184
10/17/2017,6621.419922,6628.600098,6613.209961,6623.660156,6623.660156,1647240000,-5.1305E-05
10/18/2017,6634.259766,6635.52002,6613.549805,6624.220215,6624.220215,1734030000,8.45543E-05
10/19/2017,6583.700195,6605.290039,6558.529785,6605.069824,6605.069824,1823860000,-0.002890965
10/20/2017,6633.370117,6640.029785,6622.919922,6629.049805,6629.049805,1794810000,0.003630542
10/23/2017,6641.569824,6641.569824,6581.149902,6586.830078,6586.830078,1809320000,-0.006368896
10/24/2017,6598.609863,6611.899902,6582.060059,6598.430176,6598.430176,1842640000,0.001761105
10/25/2017,6587.220215,6600.640137,6517.930176,6563.890137,6563.890137,2190720000,-0.005234584
10/26/2017,6567.589844,6582.759766,6550.029785,6556.77002,6556.77002,2108210000,-0.00108474
10/27/2017,6635.029785,6708.129883,6625.779785,6701.259766,6701.259766,2403600000,0.022036726
10/30/2017,6693.77002,6727.390137,6677.149902,6698.959961,6698.959961,2013640000,-0.00034319
10/31/2017,6713.709961,6737.75,6705.790039,6727.669922,6727.669922,2043890000,0.004285734
11/1/2017,6758.640137,6759.660156,6691.47998,6716.529785,6716.529785,2056860000,-0.001655869
11/2/2017,6709.390137,6719.970215,6677.549805,6714.939941,6714.939941,2262940000,-0.000236706
11/3/2017,6737.089844,6765.140137,6712.930176,6764.439941,6764.439941,2195010000,0.007371622
11/6/2017,6763.299805,6790.669922,6763.169922,6786.439941,6786.439941,2166470000,0.003252302
11/7/2017,6785.439941,6795.52002,6750.350098,6767.779785,6767.779785,2205270000,-0.002749624
11/8/2017,6764.850098,6791.649902,6753.339844,6789.120117,6789.120117,2110990000,0.003153225
11/9/2017,6737.450195,6758.930176,6687.279785,6750.049805,6750.049805,2235180000,-0.005754842
